genes,weights
ENSMUSG00000113273,1.0
ENSMUSG00000078773,1.0
ENSMUSG00000064954,1.0
ENSMUSG00000085491,1.0
ENSMUSG00000100157,1.0
ENSMUSG00000115186,1.0
ENSMUSG00000060380,0.95
ENSMUSG00000113050,0.95
ENSMUSG00000022248,0.95
ENSMUSG00000095960,0.95
ENSMUSG00000091742,0.9
ENSMUSG00000093963,0.9
ENSMUSG00000086804,0.9
ENSMUSG00000112323,0.9
ENSMUSG00000100905,0.9
ENSMUSG00000043782,0.9
ENSMUSG00000047150,0.85
ENSMUSG00000020191,0.85
ENSMUSG00000095730,0.8
ENSMUSG00000023452,0.8
ENSMUSG00000085852,0.7
ENSMUSG00000079168,0.7
ENSMUSG00000049038,0.7
ENSMUSG00000033024,0.7
ENSMUSG00000066324,0.6
ENSMUSG00000029679,0.55
ENSMUSG00000085014,0.55
ENSMUSG00000086839,0.55
ENSMUSG00000045107,0.55
ENSMUSG00000034201,0.55
ENSMUSG00000030446,0.5
ENSMUSG00000108381,0.5
ENSMUSG00000097684,0.5
ENSMUSG00000026083,0.5
ENSMUSG00000025010,0.5
ENSMUSG00000079577,0.45
ENSMUSG00000026502,0.45
ENSMUSG00000015879,0.45
ENSMUSG00000028820,0.45
ENSMUSG00000071691,0.45
ENSMUSG00000028282,0.45
ENSMUSG00000001018,0.4
ENSMUSG00000036449,0.4
ENSMUSG00000104872,0.4
ENSMUSG00000005774,0.4
ENSMUSG00000086103,0.4
ENSMUSG00000117465,0.4
ENSMUSG00000102999,0.4
ENSMUSG00000113394,0.4
ENSMUSG00000020257,0.35
ENSMUSG00000106683,0.35
ENSMUSG00000117803,0.35
ENSMUSG00000049047,0.35
ENSMUSG00000106930,0.35
ENSMUSG00000066595,0.35
ENSMUSG00000055497,0.35
ENSMUSG00000051906,0.35
ENSMUSG00000082305,0.35
ENSMUSG00000110172,0.35
ENSMUSG00000118917,0.35
ENSMUSG00000026156,0.35
ENSMUSG00000119774,0.35
ENSMUSG00000045576,0.35
ENSMUSG00000085526,0.35
ENSMUSG00000038481,0.35
ENSMUSG00000032656,0.3
ENSMUSG00000025157,0.3
ENSMUSG00000027487,0.3
ENSMUSG00000073985,0.3
ENSMUSG00000018211,0.3
ENSMUSG00000112984,0.3
ENSMUSG00000093080,0.3
ENSMUSG00000020431,0.3
ENSMUSG00000104665,0.3
ENSMUSG00002075656,0.3
ENSMUSG00000111746,0.3
ENSMUSG00000035545,0.3
ENSMUSG00000015659,0.3
ENSMUSG00000026842,0.3
ENSMUSG00000047730,0.3
ENSMUSG00000096265,0.3
ENSMUSG00000094948,0.3
ENSMUSG00000020287,0.3
ENSMUSG00000109702,0.3
ENSMUSG00000050947,0.3
ENSMUSG00000097360,0.3
ENSMUSG00000092563,0.3
ENSMUSG00000088478,0.3
ENSMUSG00000100455,0.3
ENSMUSG00000092086,0.3
ENSMUSG00000065947,0.3
ENSMUSG00000105634,0.3
ENSMUSG00000085478,0.3
ENSMUSG00000052031,0.3
ENSMUSG00000114424,0.25
ENSMUSG00000107331,0.25
ENSMUSG00000060227,0.25
ENSMUSG00000058430,0.25
ENSMUSG00000079578,0.25
ENSMUSG00000032468,0.25
ENSMUSG00000003421,0.25
ENSMUSG00000032437,0.25
ENSMUSG00000115702,0.25
ENSMUSG00000072295,0.25
ENSMUSG00000070490,0.25
ENSMUSG00000101342,0.25
ENSMUSG00000109083,0.25
ENSMUSG00000114456,0.25
ENSMUSG00000036151,0.25
ENSMUSG00000055319,0.25
ENSMUSG00000110046,0.25
ENSMUSG00002076039,0.25
ENSMUSG00000114870,0.25
ENSMUSG00000113188,0.25
ENSMUSG00000113613,0.25
ENSMUSG00000115708,0.25
ENSMUSG00000117226,0.25
ENSMUSG00000024011,0.25
ENSMUSG00000110068,0.25
ENSMUSG00000113984,0.25
ENSMUSG00000023963,0.25
ENSMUSG00000084960,0.25
ENSMUSG00000083636,0.25
ENSMUSG00000115147,0.25
ENSMUSG00000073409,0.25
ENSMUSG00000040183,0.2
ENSMUSG00000116953,0.2
ENSMUSG00000025008,0.2
ENSMUSG00000085180,0.2
ENSMUSG00000106396,0.2
ENSMUSG00000039474,0.2
ENSMUSG00000103123,0.2
ENSMUSG00000097379,0.2
ENSMUSG00000001134,0.2
ENSMUSG00000103845,0.2
ENSMUSG00000063535,0.2
ENSMUSG00000037358,0.2
ENSMUSG00000107215,0.2
ENSMUSG00000028292,0.2
ENSMUSG00000114313,0.2
ENSMUSG00000039205,0.2
ENSMUSG00000091476,0.2
ENSMUSG00000025898,0.2
ENSMUSG00000095681,0.2
ENSMUSG00000076540,0.2
ENSMUSG00000050786,0.2
ENSMUSG00000114016,0.2
ENSMUSG00000034210,0.2
ENSMUSG00000117839,0.2
ENSMUSG00000053070,0.2
ENSMUSG00000106375,0.2
ENSMUSG00000066896,0.2
ENSMUSG00000087121,0.2
ENSMUSG00000033405,0.2
ENSMUSG00000056162,0.2
ENSMUSG00000082121,0.2
ENSMUSG00000097742,0.2
ENSMUSG00000072568,0.2
ENSMUSG00000112135,0.2
ENSMUSG00000031864,0.2
ENSMUSG00000033039,0.2
ENSMUSG00000109378,0.2
ENSMUSG00000028034,0.2
ENSMUSG00000042535,0.2
ENSMUSG00000098269,0.2
ENSMUSG00000021710,0.2
ENSMUSG00000050071,0.2
ENSMUSG00000099397,0.2
ENSMUSG00000057722,0.2
ENSMUSG00000077711,0.2
ENSMUSG00000114691,0.2
ENSMUSG00000117072,0.2
ENSMUSG00000030228,0.2
ENSMUSG00000114442,0.2
ENSMUSG00000036872,0.2
ENSMUSG00000064918,0.2
ENSMUSG00000109352,0.2
ENSMUSG00000033579,0.2
ENSMUSG00000103696,0.2
ENSMUSG00000020948,0.2
ENSMUSG00000049511,0.2
ENSMUSG00000086475,0.2
ENSMUSG00000064368,0.2
ENSMUSG00000087222,0.2
ENSMUSG00000088479,0.2
ENSMUSG00000022303,0.2
ENSMUSG00000116589,0.2
ENSMUSG00000080465,0.2
ENSMUSG00000033883,0.2
ENSMUSG00000070778,0.2
ENSMUSG00000087223,0.2
ENSMUSG00000058246,0.2
ENSMUSG00000044224,0.2
ENSMUSG00000040722,0.2
ENSMUSG00000106963,0.2
ENSMUSG00000110193,0.2
ENSMUSG00000036611,0.2
ENSMUSG00000071722,0.2
ENSMUSG00000117161,0.2
ENSMUSG00000064367,0.2
ENSMUSG00000105389,0.2
ENSMUSG00000102493,0.2
ENSMUSG00000075602,0.15
